Name,Description,Link,Category,Technology1,Technology2,Technology3,Image
Wildfire Tracker,A Google Maps-Based Javascript web app that tracks U.S. wildfires in near real-time,https://github.com/lukemenard/Wildfire-Tracker,Software,JavaScript,Ruby on Rails,Google Maps,https://lh3.googleusercontent.com/BoQMBU7cweJTihxni91TfHIfWdJ3egv8HnDQGq4Xa1GMNyJ3rjHLqZr9byX-I23YDAoE0l7RWhUB3-24_Pa9it6O3WIJcqvKIzWvxufiEHdZeYgVgU4lXmEwvmZKjAUCgpJ80pMu6R93BLPY2EHb35WGoEj8ddTlePGJAfABU6M4ybAjxK2W0Ny_FQBOi4PopfmJjYv61Sqfc3stRWrH4Bpu8yDezbiKHtsxqj2xspmtQ1ml8h9oZEaRhALrm4FLUN-8iTkqhDRcuRv3_bf8vYzOojt-IFpvCyWWM9YnrFivuJVg5RUn1UPaMfgfCby_1cRC9mh_a-sunkGmM2LjgK-2sMg20DfUQd97mLnBJYI8apLEmYBiJf_-8kyqkDUqSVtAUogeLC4eJBp3eRnGGZ9DSQHzsigRiIWEHJ8K0EreaX13t2R2gXB5uyev0ySLWILlzF74xiO2-Xrl0ZRlc4Z1Jc_7sLfz_bALfcm4e4nWQKotlVUUPJGBh-fS9nquIuPRixZEeD_MF4LjrjoIdW1JtHI4YT2tgKHLaJck-E4nNHlfGnBR818BxnHeuUdNApijBtO_Vqw4Yhqund4912ZYmxgLwkEisWRgRS2U5YcxUIv00dDTxVw50kZuDEVCvzgPqidRX3GbtPLFRcLJNvWOwHdJ_e0xZ5oQWfkZLcbmT2yHxgeyXPs=w922-h712-no
Primary Source,Ruby-on-Rails website housing information on all Democratic Primary Candidates in the upcoming 2020 Presidential Election,https://github.com/lukemenard/YourPrimarySource,Software,Ruby on Rails,Ruby,,https://lh3.googleusercontent.com/6cCLOKjiVEkNirp3PKFpTOtzJkZtBSt9K5AVchMW0Bqwja9LHV5nMuIISxCHwh2jmSgxadXlCHgSUg9m9vZ7XPoHC-EWdfSEsGq9MwoTCg5fIDaI2GeDyRptrxmhSmInBaRmhbcMO8NJZSO1ZSKG-hrcSqkTZ5eitFgESdvHIbJy9NRwdDZERAQuDmm0ev6iEpdAfzgz09LPexoKn756uEN5Fo8svfXIWAbAYg-uBokpNXWCpkigntFtH_U1yD2wDsmSfW3SwaSui5qWAaMy2Z5PZ4v2FZy4YANqiECnfzi3YIlYaTNvqWYDojlzuTXaPfCTE3o9QPk_gb5IHHz-9C2ZokXDGQz68tUIiChbHHjarRtn1IdYkIuDP2qBQqp0hF2vuy4_qfDve6OS19b-Cdz4WB4eXHHigPFzkokqtcnSmva86lZZtl0fT23F41Gfglrn9QVQKCwk1e7nu6QfG2yYdAZQvA3Cjtonqw1_RMBXfVdukSMeWD6LV6v_4tsWk9WcLtuvt4DP3aC5FaJvs8-mPPBhNUooSag7Dx24cAWhCDICeqSLlTQtCM_ZDVmzzZB6rL8AMGNCff_OotEnbTeFbyyJN759HXQSKPtDlpb4EBW4FOY0zcDWq3wgM4yE8ju7qPX9SL8lviGeIg5zOhYl2ZnNU-eYddARCh4omAoF3_mKHxpGyDg=w922-h712-no
TreeFind,A CLI-based tree identification dichotomous key,https://github.com/lukemenard/TreeFind,Software,Ruby,Command Line Interface,,https://lh3.googleusercontent.com/yB1T_fre8U8vdkNNBvkwV4raabTy359RdUZB5ne78u617mogE5j-YxllORiQTp3hlG1pFbtYCgF0N1t4_a56NEpHB_OSyLvtFa_ckT-deGEqyp_E3azmxYHjpcSguvacLj77QAL71_DxLPWykB0tuDAK051Tex2ZJDyZ2Ry8q2h0CVxaPMhJECtK81wzFt8wzRXG75VCT2FwF7D8fnu5TxnO2halPiMFnEZ1l_ej0SUhDFNsPTAlLrC_CUnAM8iBKrvZrCGnKPywc-ZAzHVBZrwhtt9H-lJJOWkipRJ7Z_6siliEJtq1uBTL-nL85i_P6FUTE88O-LiIMzJBuwEE7AlzqCFSyh9vrUJeCZR9KhimH9XR2KQo5jtXkRD_difD6HlZ2DC2vlaYhvK2sevk063x6w99gU-0pmcgWG6fKISQkDBANlvB_0vtrXZkRnFoj9Ij2qvkYylryeSMZi5qVA3Fpt1iJD_FpLpMAMKA1kHNvOVAJ7MfjBWY_smU_cYiJa9q2tOJAZkg9pAHA1A6pRpTf8kLGe4XbuX0ycXYdouH_m2DjQzXhf8EHg-DOW_a3NIr7deGSI0dWc6IErrIYaJhgecuY7YoMP7UNZmg7DY_PCGTNokiETOQdLlC2aPAm8sM89t_AQlyXjyar_lcPqCWVmoGj-ad3fp-qoyf76NLxMy5Cp7cILI=w755-h978-no
Conserving Cascadia,A coexistence-centered management plan for land use in the Cascadia Ecoregion,https://drive.google.com/file/d/0Bw_ZPM6_K4yNeDZIN210RmFza2c/view?usp=sharing,Mapping,R,GIS,,https://lh3.googleusercontent.com/r-mcbuQQPeXOJQG9ldlypzNr61aRW7GVEjVAFkOi4enJrmNKMnHHvKspareXOpAAPIajwobmevV0XjWxAEP5tkAwv6FgYQilTWFYuSCtc_Z8sAb0xF_cM4Zqfq4djfI4poiwxPjyVRMuxSHKvIZABeE968PCJFhpzx4AhT8iLLJwu2FI8OSuMkYumDxFFSy-Qz3Zqbz8uyWxihtkUquzL38d6zJ-Fh59xaPbKXWMR_Qfqbv3ItShNPvv5f-w5soLLsF_oeQ1X1Dcf1ay859psjX2aVy9dA1JngVT010GLD4S6vSRfWsQOysEl5kjApusW6u5V0fBMoPaRT2-e-Za-7U06-neOL8df0jSTBN6bt71YNKXZFCEKij9sVVmbJXTExpvoadCn3T0WlTzw3UZckekJ4qOIMe2dn0D7TaQ_07l0ZaCpj775fiHPLVfQjOqWBVQP2DkQY5G9X8nHONVOi7ayHQG4Izjoz5UbZjJ8RLiW35RoUGO_vousTTX2aCBd9NlegYL3EPy1PYtzGqAO1GHKxp--SXQNymE2LpBZeeC0DDPFimlbQjmXcuBumfP9jKYr7DQkTVpSum3LfEd4-9moFRulQBpYiDmImOhh1WBeheZPVii1MfL4BD4eaYgK-qWMYnDFFogVcOBgOwSl9jPVtlGyv9HWLempO21wwVikI43RbWnJQw=w755-h978-no
Slash and Burn,"Tracking fire-related land use change in Kalimantan, Indonesia using vector-based GIS",https://drive.google.com/file/d/0Bw_ZPM6_K4yNWnhSNjFBaXJVQjA/view?usp=sharing,Mapping,GIS,,,https://lh3.googleusercontent.com/IZg7wd4RD1Uf6NfkMAwv3wdY3R9hwJESXPI0rvoZ-P4CI14xKDySlK8RI2IHoAgouHg7DynNfnnMTt5vWp6UG0CYdJVUgArQy9hkeJUZKyFHLaCTSLBAt8aNFqdxhNh1h_DbOrPLpzsG3p2wOpNaSS0ZsAF5VQvjI2muuauKRrEPX2YlVwRhoYppirMdApIqkI0XrUUlK-s4wB50YtFtWW-cSGALCy_OWcGxZhsA3M2Z1jywu7rfCwxjtDhkfBrjltzMlsFmzg1nmrE25JtRMyDMML4qBTOHQYbeCY7UX6qnmlAw05ji2LPjszoR9OmVWbmfNimZOX3jRuqcH_TIi8TFWh0MX8NVnTabOKeerRIdvxTT79cQ72LO2CaKFen6kqg-A0R6wcgLu3HjA0VixCPbQbyz0ByiD45XY2dyz_hieL3Pq1YqKVRfgDabOwjJahJWIaT0F0NDcBL75EpyXKTRh7ruC0nTNRajzOnEL-36LHbIfarl85zsSVFRsHWVTcuDIqauE23bD70g2be57iMIXe848rsTUP4YGDOfP1C9OcnMJ8KVykokVv8KjlG9-jfdXrXd2YjwhcxcUP9LuJ7Ov3iFIPwGMr9_IWGY6KfytZtQE09DJgf4DZ6Nk_RLwJFiNeq-wXgHpxazxjPuVa84uP4CPT5ddSqtX6kKUPdahVh4s4WcIOM=w922-h712-no
New Canaan Land Trust Property Map,A digital map for New Canaan community members,https://drive.google.com/file/d/0Bw_ZPM6_K4yNdjZIWXVyNFhXQzA/view?usp=sharing,Mapping,GIS,,,https://lh3.googleusercontent.com/d4eZWHkPIwApSVlNy_56OcQhHZZoWuuTF521NRrWXbFuxNswEBQh909kInFFkVAcnSsvF87waItPIGB6tie67awoIxEiCosaihhe1rdfeAYdT_Sr5crcMaH5kJ-sPJG31mqEl9ikTxPfY5k6ZBvFzvZZEBIJqVy3kxSC7c1JAHQYa0gMmnBIbzc-nrkEneTYJD0614VkmSa1yQBEP2eS5lBJLlxapalAENOFYxllka8HwnWqf3Nfy8CrlKg_59Mh9_XAn77UMIMUnZAawAEyufzOqO5jDslqhAfgnrtmMQclO8E8LS2yWt1vbrN93SyT1Wa7bFL9GTQ0adLCxd0jfBBfFmRkPUfLYo68u1V6BdwaiCQ0-ChIqEhwAZ8WIrnQ-nmyJx3UKcW6Zb8TiQrmUoDFEI70qmsxT1vb2sLkBoi7YFivMfI4k_G9vaXp5FO8Jf2KayNW61eV-kmPWKfrjH1BUU0rIj2bsi8qGUXJT2hSRH6wtrm-JCK7k3uYItGMiTdTN1W5FcelhtvfxGwJADoErCLreXcf5762gkBzpl43J2jo5YgUXR0e-FmbVGgqLazNds5Ftzq2jwn2vhFd9MQpXqKR_t_7evVbNUNI0_u6eUu8veYe8U-t2CMsYfInAc4KejdKmXC-lGMw_zZbFR0Gx1FsibP5vKGYd-sfRLgbZgK-A7Iy1ek=w691-h978-no
Greater Sage-Grouse Site Suitability Assessment,A site suitability assessment for Greater Sage-Grouse habitat conservation in the Intermountain West,https://drive.google.com/file/d/0Bw_ZPM6_K4yNMk1sbUc3Zk8zQkE/view?usp=sharing,Software/Mapping,JavaScript,Google Earth Engine,GIS,https://lh3.googleusercontent.com/Hgd_9PYIigOW6DX9vGxHRszi4JJNLp_5EECEguVfHANuaHKCI8I2vTtFD5Ol7HNyASxdLAV79b_a0dbUvQ2rPeL2EZiCuV1ttuXEWaZe0fh1fHUkjGn_hmJsp0d0M5tnBr761BzpIys-sbqCd-Bx_iM3pLRXxf9DVQ63XgJJpCmeOpLE3m8lPDQsPHz-Y7Gu8aXQ19C90FGXlmkSHj1NCZJg0Vh5KcOJjv4P7STC9Uyq5b08PPCb3fCQ9yhXBSK8d9p-2acbe19N4AgfvnlqacxPJ40KcSBN7f9oluakkaHqbt4C59GlAP2_BARh-s4g1yLv2KrxaVVO3VdWyDgb-HByN6zEjD_jl90zizfjRaS3VE30IdP-k4yRaygVDayeOhj0egb1o2R83Vfo9Ah5LU9D4joHsueL8oOhz0peCF8erxqgFE1nlBWT2haV0LW1VVhEflnx0y3IUNSjofrZnxd031OxMedIGohO_EVPhzpUWiWznuPni0eh76xrSir73HJtj5o_DM42EeiLgVnIynalsKTtDyWQ9N_ClSTh-1dSndvTCsteb7VbMZcfqkW-KH-yaR2DUsqA0qfc0wW6hHk5I6Hg6DU1are8UuKDjb2W9_B_HzTImXHAc4juLZuxSWFumh6Rz4NtQo9ARM8sE2tvuYyQAPjvl3OGP-FxJVkLuiDYG9g2Vxg=w921-h519-no
Water Column Depth Correction,Identifying grazing halos from a series of depth-corrected satellite images using ENVI,https://drive.google.com/file/d/0Bw_ZPM6_K4yNMk1sbUc3Zk8zQkE/view?usp=sharing,Mapping,Remote Sensing,GIS,,https://lh3.googleusercontent.com/bplBs2HbaQ6me9hfF-rxJpdff2T0oRStx4so7Vu0BIl2FfjP_OrSJqY8yeZDTKgmH7q8HBWrv0A8mQDtAAuu8XZWaK2_SXtGTgDIBtEhL8dd46APO_ongQQnHVUp7VSCWO5pi8P-YnSQB3DPeSV92ubnzEAXjHaTDO9KSZ5cCYsWKonNE77OQOc4VZJZDe0yEY6u9HH7VR-O4P-QxoD9Gc7brNcuplPBQ1sHF5m904oaz52zZ_UrCXJDPWACdgvzgGjYUtq_--t4hpOemZbxLC45v-SAPVleetvAbqQkzN77FxJGTTKHOysIoBJ1u2VkJLaZ_CgLCQ8Qnx3_qZa82bFhSEmQXjWztm3rpmyspONiw1-OERAQ5nbLpslg7MKbh5Od0gVQFGfeJWZBI2Rr-yNk9y7OrYe5ZCea4HmmQwGJtfckWkXMilYAzEyRchvbV1EtfHS3tHOP5E7VkBGi2ND5gBlxLQATA5rXZqAd-8ymZd7heVT_MTEmUrVmpgGg-Y52SuyYEo10raAtraj5EYue6PiMO_NdW2MOsHttQE74MjrhiwSVgMw6j_3IQ2qBHFxvAUXA-v9gxIPETEMajnbSU4EkejKuXNo-yytaU88mpnzb9mcTRTjr5pHs9JexSktS-xu0MvnkxYv65hV-X62IjqEprmxDmcZ1m-IdSr5__Ej-pZipbVI=w755-h978-no
Land Trust Open Space Analysis,Updating the New Canaan Land Trust annual property map using Python,https://drive.google.com/file/d/0Bw_ZPM6_K4yNRXI5QjhyOFZxS2c/view?usp=sharing,Software/Mapping,Python,GIS,,https://lh3.googleusercontent.com/KG77TgezMbPBELQIAK6Jd7JiT9_zetScoO8A89GPk7X5oVuov7IJYB6q_bYeYBPrir-99z2uPtTrHvg6Yls-cFk-K9uApnQX3o-uUU_41hoGrBYO3nZ_3KDq0-YOvELZVjGbGcmHlULKa4ubW1D8gojHW9pQgfsd1NebZ6Zh_kfLdHyegWtjkj0iST6NwyV41iC19gVLHxZARCxayN82nAybj7RiilFVDoLtUhyICKyxVPphtIipnr06X0rBVNIf-IsSkY38xhAOVD-nDB0s3bgk_Etv2FfaKf6QgkZM-IlLaZVLtKY9gkRAC_rUbUYGN6NST3E95ZfkML3aezeRJ_zkPdmZoeq_DXD8rwKSpBgZIrOYmU98p05PRIflrVQ6Ys91tlYj5OU5QoN2vHz8GiVAYCuCS961jISWju_2f1-S4WKx7mHr-TRChGas-hVAAyG2zNIoJkN35rmbD0mrjhy0LuifasT5ZtE3DYSbdvHI_kGcOxVcl7eFpWFLAxTc2niFrNBrBirGqVn29u1qjtqVMdRkKaOP8YP6U7DYI3njAl3Jb7U-FaTR4BGikClkTXrPu7Aq1L43o8g_gFG7GY8RWRd39Orfsdhw6l_3dgGdIZD0BK93KTeD3yk2Dk4D4zGOrRRYfXdPQYhWXS7cwxNISpbnLzdLnGue27GhpCHfTC-RLQ5H-Ao=w921-h519-no
Trump Denuded Environmental Policy. Here's the Effect.,The key environmental issues to wath after Trump's second year in office,https://psmag.com/environment/key-environmental-issues-to-watch-in-trumps-third-year,Writing,,,,https://lh3.googleusercontent.com/mD3GJG4nu52iopYvwdCbsTzsonC0O_PtXUHRTJ0uOkpR1E93ZvHVNrHQWzNCBaFQXga_mPNfUXRfoRmQUPQGgWwsJ7uyUirXd3XeV4PUriHd5awnLsY6QaknY-M_3gmoI-G1lyxswTe--XOzumStsDNfukLxzf9uQ-6hxlU1cNbwiq1X84dh4TtMg7sFEug3-_dNSckpIjCVYMz_pJHxkwfwp_Fw3Epdp6nC6hDkT6YiVwX54WYubvej5_xKfPGchumfREd_O76vyjuttg3IjMwRKoW9Stb3sWSUBFlQWoTpdYj8wxQFX33nkcOkWMsH8Gh8kp6AvdUhBT27n-kSRtP8IoOCLxxVbkBdaJ6ZwYFtbjn4uajaUR7qtmqyfjhp32iwbOoKr_zMtnyflbAwo_1H-gyL4D9o9y2b7I_sSd6ZiJeix0vgE6kywXBdzoiAY1RhAcKiXSEB3vQK8ATwwfoaiwedtfE2ZnrzcRj8ebn4bGuVQs_jrpd1ENxBuUv3H4uwvFsrPcMErAIsij-EMikPt06tZ3Uvcaejkn7vBVAWPS72dHox_Pa-zu-gw5jCwAuTjlvMZYh2_NPjsOikVh-q6CUgSHdsNVedKQbQ-3DlRCRkwwDyi5vhV4ZlFyolKlp4zWKYJ99dedtjNZyHfUFD2ALJpQ37ijZ77sDY065hstsg2PeBgdo=w755-h978-no
